station.id,site,latitude,longitude,elevation.m,sampling.date,visit.type,sampling.year,date.time,vwc.10cm, 
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T15:15:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T15:30:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T15:45:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T16:00:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T16:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T16:30:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T16:45:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T17:00:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T17:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T17:30:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T17:45:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T18:00:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T18:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T18:30:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T18:45:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T19:00:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T19:15:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T19:30:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T19:45:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T20:00:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T20:15:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T20:30:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T20:45:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T21:00:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T21:15:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T21:30:00Z,23.9,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T21:45:00Z,23.74,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T22:00:00Z,23.55,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T22:15:00Z,23.55,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T22:30:00Z,23.74,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T22:45:00Z,23.9,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T23:00:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T23:15:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T23:30:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-22T23:45:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T00:00:00Z,24.25,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T00:15:00Z,23.55,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T00:30:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T00:45:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T01:00:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T01:15:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T01:30:00Z,23.47,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T01:45:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T02:00:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T02:15:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T02:30:00Z,23.51,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T02:45:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T03:00:00Z,23.44,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T03:15:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T03:30:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T03:45:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T04:00:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T04:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T04:30:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T04:45:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T05:00:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T05:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T05:30:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T05:45:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T06:00:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T06:15:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T06:30:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T06:45:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T07:00:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T07:15:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T07:30:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T07:45:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T08:00:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T08:15:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T08:30:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T08:45:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T09:00:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T09:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T09:30:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T09:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T10:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T10:15:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T10:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T10:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T11:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T11:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T11:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T11:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T12:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T12:15:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T12:30:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T12:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T13:00:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T13:15:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T13:30:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T13:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T14:00:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T14:15:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T14:30:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T14:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T15:00:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T15:15:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T15:30:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T15:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T16:00:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T16:15:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T16:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T16:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T17:00:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T17:15:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T17:30:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T17:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T18:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T18:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T18:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T18:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T19:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T19:15:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T19:30:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T19:45:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T20:00:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T20:15:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T20:30:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T20:45:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T21:00:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T21:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T21:30:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T21:45:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T22:00:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T22:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T22:30:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T22:45:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T23:00:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T23:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T23:30:00Z,23.39,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-23T23:45:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T00:00:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T00:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T00:30:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T00:45:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T01:00:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T01:15:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T01:30:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T01:45:00Z,23.35,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T02:00:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T02:15:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T02:30:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T02:45:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T03:00:00Z,23.3,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T03:15:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T03:30:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T03:45:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T04:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T04:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T04:30:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T04:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T05:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T05:15:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T05:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T05:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T06:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T06:15:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T06:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T06:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T07:00:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T07:15:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T07:30:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T07:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T08:00:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T08:15:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T08:30:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T08:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T09:00:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T09:15:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T09:30:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T09:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T10:00:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T10:15:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T10:30:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T10:45:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T11:00:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T11:15:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T11:30:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T11:45:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T12:00:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T12:15:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T12:30:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T12:45:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T13:00:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T13:15:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T13:30:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T13:45:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T14:00:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T14:15:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T14:30:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T14:45:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T15:00:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T15:15:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T15:30:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T15:45:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T16:00:00Z,22.99,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T16:15:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T16:30:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T16:45:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T17:00:00Z,23.03,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T17:15:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T17:30:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T17:45:00Z,23.06,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T18:00:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T18:15:00Z,23.11,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T18:30:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T18:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T19:00:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T19:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T19:30:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T19:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T20:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T20:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T20:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T20:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T21:00:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T21:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T21:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T21:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T22:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T22:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T22:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T22:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T23:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T23:15:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T23:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-24T23:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T00:00:00Z,23.27,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T00:15:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T00:30:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T00:45:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T01:00:00Z,23.23,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T01:15:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T01:30:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T01:45:00Z,23.18,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T02:00:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T02:15:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T02:30:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T02:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T03:00:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T03:15:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T03:30:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T03:45:00Z,23.15,
EA005,Comal_2020_21,29.687279,-98.351009,323,6/17/20,i,2020,2020-07-25T04:00:00Z,23.15,
